Age,Gender,City_Size,Marital_Status,Children,Country_of_Origin,Occupation,Education,Income,Hobbies,Personality_Type,Event_Preference
22,Male,Medium,Married,Yes,Canada,Teacher,Secondary,2749,"Photography, Gardening",Introvert,Entertainment
55,Male,Large,Married,No,France,Developer,Bachelor,2650,"Cooking, Reading, Art",Ambivert,Educational
49,Male,Medium,Married,Yes,Brazil,Chef,Bachelor,4123,"Gardening, Reading",Ambivert,Educational
39,Male,Small,Married,No,Brazil,Student,Secondary,4183,"Gaming, Gardening",Ambivert,Educational
38,Female,Medium,Single,No,Japan,Unemployed,Bachelor,2558,"Cooking, Traveling",Ambivert,Educational
59,Female,Medium,Single,No,Nigeria,Artist,Bachelor,2716,"Dancing, Traveling, Sports",Introvert,Entertainment
22,Male,Medium,Married,No,Poland,Student,Bachelor,3849,"Reading, Cooking",Extrovert,Educational
51,Female,Small,Single,No,Brazil,Student,Bachelor,2207,"Traveling, Music, Art, Cooking",Ambivert,Entertainment
27,Male,Small,Married,No,Germany,Sales,Bachelor,2707,"Gardening, Art, Gaming, Cooking",Introvert,Educational
22,Female,Large,Divorced,No,India,Teacher,Master,3308,"Cooking, Reading, Gaming, Sports",Ambivert,Educational
43,Male,Medium,Single,No,Brazil,Chef,Bachelor,4395,"Art, Sports, Dancing, Music",Extrovert,Entertainment
64,Male,Small,Single,Yes,India,Doctor,PhD,2474,"Gardening, Reading, Gaming, Traveling",Ambivert,Educational
53,Male,Medium,Single,No,Canada,Artist,Master,989,"Music, Photography, Gaming",Ambivert,Educational
54,Male,Large,Single,Yes,India,Sales,Master,900,"Photography, Sports, Reading",Extrovert,Educational
52,Female,Small,Divorced,Yes,Nigeria,Unemployed,Master,1689,"Sports, Cooking, Reading, Gardening",Introvert,Educational
55,Female,Small,Divorced,No,Nigeria,Student,Bachelor,1624,"Art, Gardening",Ambivert,Educational
42,Female,Medium,Single,No,Japan,Chef,Bachelor,3014,"Reading, Traveling, Cooking",Introvert,Educational
24,Female,Medium,Divorced,Yes,France,Sales,Bachelor,1773,"Gaming, Traveling",Ambivert,Educational
58,Male,Medium,Single,No,France,Engineer,Secondary,2357,"Art, Music, Dancing",Ambivert,Entertainment
39,Male,Large,Widowed,No,France,Chef,Secondary,2271,"Traveling, Reading, Art",Introvert,Educational
42,Female,Small,Married,Yes,Japan,Unemployed,Primary,2671,"Gaming, Reading, Traveling",Extrovert,Educational
35,Female,Medium,Single,Yes,Nigeria,Sales,Bachelor,4787,"Gardening, Sports, Cooking",Ambivert,Educational
26,Male,Medium,Married,Yes,France,Developer,Secondary,3994,"Traveling, Music, Art",Ambivert,Entertainment
62,Male,Medium,Married,Yes,Brazil,Unemployed,Bachelor,3219,"Traveling, Cooking, Reading, Music",Ambivert,Educational
55,Male,Medium,Single,No,United States,Doctor,Secondary,2647,"Art, Photography",Ambivert,Educational
